id,label,texts
1538,0,sure
2011,0,congratulations 🐤
2991,1,I'd drop everything for you in a heartbeat.
1726,0,i'm a little too old to be adopted
2054,0,"alright, how are you?"
2503,0,i've heard of her but i don't really know any of her songs
3123,1,Tell me how my hard cock feels in your tight little asshole.
3251,1,I think there’s some demand out here actually. I know the medical industry in general does good out here
335,0,That shitty portrait is calling my name
351,1,I couldn’t hold out any longer
2692,0,"idk, honestly i've just been seeing what the bloody hell this app is about"
2940,1,I wish I could just curl up in bed with you and take a nap.
397,0,Haha I’m a night owl
829,1,Lemme blow ur mind another day
2023,0,yeah themed djing is a lot simpler
2662,0,"lol no, i'm a dog person"
3354,1,Cause that's my fav
2536,0,yes
2096,1,"same, are you at uni?"
1755,0,"hey, i'm alright"
2971,1, I would love to cook healthy meals with you and work on becoming our best selves together    
2467,0,so no blood to be seen
950,0,In high school we used to drink green apple vodka out of water bottles
1042,0,Oh man migraines are the worst. I had them pretty bad for a couple years. How often do you get them?
3336,1,Yea you do you Enjoy my big hard dick fucking
2260,0,"i've done most of europe, spain was my favourite but always with mom"
327,1,😂
3294,1,Pff no it can wait… It’s cool
961,0,rip I do not miss finals one bit
3457,1,Then when you've cum all over my cock I'm going to turn you over and force my cock all the way down your throat and fuck your face. And just before I cum I'm going to pull out and cum all over your face.
1041,0,That's real smart. I've seen people really change after multiple concussions so I'm not letting my kids play football haha. How did it inspire your interest in neuroscience?
628,1,Hey baby
3297,1,"Me: I want to stick my dick right in between those (Sorry for blatant vulgarity, but this IS real life. lol)"
3118,1,Nice. Good. More.
3345,1,Then I want you to crawl up on me and ride me hard
1106,0,I dont even know what's 50 miles away is that the desert or something
3495,1,all the way down
2665,1,haha how demented do you think i am... little offended honestly
119,0,That obvious huh? 😂
887,1,Oof I’m only free at 6 am every leap year I hope that’s not a problem
1489,0,"haha yeah, i found some scenes really hilarious"
2358,0,ooh a band?
2734,1,you look like a hipster
857,0,Yeah! Working from home is def weird but I’ve gotten into a routine now
2541,0,i have heard of the tasmanian opium fields but bloody barbed wire...
2605,0,dr. if i can swing it
1276,0,"If everybody flossed, their teeth would be healthier. Therefore, there would be less of a need for dental surgery, and dentists would lose money"
142,1,As long as we kissed from 6 ft away with our N95s on I see no problem
2903,1,"How was your night, boogy"
3145,1,So how can we fix u being naughty?
2926,1,your authenticity is a breath of fresh air its so rare 
1627,0,"i'm thinking peter, right now"
35,0,So more times than not a middle piece but a corner can go above and beyond
800,0,I wanna learn how to skateboard I feel like it’d be so fun
2703,0,haha i know
3233,1,I was so drunk I don’t remember much. Send me a picture
391,0,And the tall shelves at Costco have the best items
1291,0,What's wild Anna
2420,0,"nah, it's a horn, doesn't hurt them at all to file them down"
396,1,As long as this giraffe is your top 😉
287,1,Oh hey there ;)
3037,1,Great I love feet. But tell me about your panties.
46,0,Ah the important parts
2687,0,haha yes dogs can be such cowards
783,0,Sorry I was so busy today!! Hope work went well
3361,1,Handcuff me
3445,1,I can do that
688,1,Be prepared to pay my medical bills
2005,0,and then you'll commit suicide?
443,0,Charmer
3350,1,Haha I know! I love the honesty
3520,1,Wish I could kiss you before bed.
85,0,Lmao Hailey how are you tho
1424,1,🙊
1138,0,What sort of things would you like to see change in terms of mental health resources/policy?
1149,1,Can you put me in contact with your father so I can ask permission to go on a date with you
2275,0,"it has a name, it is amazing, i've had the same at lord of the fries"
828,0,Damn :( fathers always gotta be ruinin this
143,1,If you kiss at night tho Covid doesn’t know 🤫
3516,1,Chat 28
2036,0,"haha, yeah it's only a little appendix and they're all good 😸"
1264,1,Do any of you want to go on a date with me
3529,1,Thrust your cock deep inside my mouth. Stretching my throat and making me squirm while I'm all tied up.
490,1,Hey we can practice first!!
3121,1,"No, no. Relax. Go slow. Breathe baby breathe"
1320,1,"You may be a fine arts major, but the only fine art I see is you"
1202,1,I have to admit - that's a bit advanced for me. I'd probably have to take you out to a restaurant
1105,0,"I'm in Berkeley, just moved here from the east coast"
3124,1,Baby?
815,1,Sweet I think to better coordinate this I need your snap tho
973,0,Nobody can guess what you put in the spaghetti but they know its good
3187,1,Everything.
3535,1,We can and we should
1409,0,shit
1050,0,"I have met up with only two I think. The first girl was pretty cool, but our first date was a few days before we got off for winter break so that didn't continue. Then I had a fling with another girl who was pretty cool (the tulaner). Another girl who I had seen around campus and was really into asked me out on tinder and then flaked in a pretty shitty way."
2913,1,your intelligence is a major turnon its so impressive
2521,0,didn't you hear about the snapchat leak?
1743,0,"you can do it without using labels, but it's human nature to categorise."
3105,1,Purple. Clear-ish. Sparkles.
402,0,Lol that’s chill what show u watching?
2912,1,our conversations flow so effortlessly it feels like weve known each other forever 
3418,1,Mmm I love that feeling when I thrust deep inside and my thighs press up against the back of yours.
2997,1,I'd rather be watching the sunset with you.
2550,0,is that an antique rocking horse?
1672,0,really? i don't either so i listen while studying even though it's not really a good idea
3392,1,Imagine how great it feels for me to inside you
